id,label,flower_diameter,flower_width,flower_ratio,lf_length,lf_width,location,geo_1,geo_2,geo
1,SanFelipe1,2.065,1.096,1.884124088,16.338,1.386666667,SanFelipe,EastBaja,North,D1
2,SanFelipe2,2.799,1.205,2.322821577,13.126,1.831,SanFelipe,EastBaja,North,D1
3,SanFelipe3,2.516,1.087666667,2.313208704,12.225,1.749,SanFelipe,EastBaja,North,D1
4,SanFelipe4,1.869,0.893,2.092945129,12.912,1.936,SanFelipe,EastBaja,North,D1
5,SanFelipe5,1.837,0.839333333,2.188641779,13.097,1.842666667,SanFelipe,EastBaja,North,D1
6,SanFelipe6,2.376,1.380333333,1.721323352,14.649,1.725333333,SanFelipe,EastBaja,North,D1
7,SanFelipe7,2.721,1.249,2.178542834,16.905,1.556666667,SanFelipe,EastBaja,North,D1
8,SanFelipe8,2.337,1.166666667,2.003142857,14.777,1.615333333,SanFelipe,EastBaja,North,D1
9,SanFelipe9,1.894,0.880666667,2.150643452,16.91,1.778333333,SanFelipe,EastBaja,North,D1
10,LasAnimas1,2.033,1.016666667,1.999672131,25.811,1.564666667,LasAnimas,EastBaja,Middle,E1
11,LasAnimas2,1.777,0.936333333,1.897828409,20.216,1.32,LasAnimas,EastBaja,Middle,E1
12,LasAnimas3,1.309,1.07,1.223364486,19.481,1.595,LasAnimas,EastBaja,Middle,E1
13,LasAnimas4,2.231,1.299333333,1.717034377,24.747,1.485,LasAnimas,EastBaja,Middle,E1
14,LasAnimas5,2.544,1.780333333,1.42894589,20.25,1.32,LasAnimas,EastBaja,Middle,E1
15,LasAnimas6,1.562,0.719666667,2.170449282,27.755,1.327333333,LasAnimas,EastBaja,Middle,E1
16,LasAnimas7,2.347,1.637666667,1.433136576,26.318,1.835333333,LasAnimas,EastBaja,Middle,E1
17,LasAnimas8,2.764,1.509333333,1.831272085,24.03,0.994,LasAnimas,EastBaja,Middle,E1
18,LasAnimas9,2.649,1.649,1.606428138,23.006,1.214666667,LasAnimas,EastBaja,Middle,E1
19,SantaCruz1,1.764,1.014666667,1.738501971,22.419,1.217333333,SantaCruz,Sonora,Middle,E2
20,SantaCruz2,1.989,1.300333333,1.529607793,21.036,1.278666667,SantaCruz,Sonora,Middle,E2
21,SantaCruz3,1.962,1.257666667,1.560031805,25.925,1.32,SantaCruz,Sonora,Middle,E2
22,SantaCruz4,1.266,0.897,1.411371237,27.482,1.213,SantaCruz,Sonora,Middle,E2
23,SantaCruz5,2.316,1.186,1.952782462,23.533,1.280333333,SantaCruz,Sonora,Middle,E2
24,SantaCruz6,1.797,1.494,1.202811245,17.671,1.033666667,SantaCruz,Sonora,Middle,E2
25,SantaCruz7,2.214,1.288333333,1.718499353,15.582,1.049666667,SantaCruz,Sonora,Middle,E2
26,SantaCruz8,1.493,0.99,1.508080808,18.587,1.214,SantaCruz,Sonora,Middle,E2
27,SantaCruz9,2.161,1.354,1.596011817,15.203,1.1,SantaCruz,Sonora,Middle,E2
28,SanIgnacio1,2.057,0.892,2.306053812,18.326,1.065666667,SanIgnacio,WestBaja,South,B
29,SanIgnacio2,2.186,1.322333333,1.653138392,18.034,1.272333333,SanIgnacio,WestBaja,South,B
30,SanIgnacio3,1.324,1.094666667,1.209500609,19.354,1.08,SanIgnacio,WestBaja,South,B
31,SanIgnacio4,2.068,1.462666667,1.413855971,16.681,0.861,SanIgnacio,WestBaja,South,B
32,SanIgnacio5,1.716,1.535333333,1.117672601,18.491,0.846333333,SanIgnacio,WestBaja,South,B
33,SanIgnacio6,2.262,1.611666667,1.403516029,26.3,1.320333333,SanIgnacio,WestBaja,South,B
34,SanIgnacio7,2.853,1.431333333,1.99324639,18.52,1.155,SanIgnacio,WestBaja,South,B
35,SanIgnacio8,2.417,1.203666667,2.008031016,24.685,1.268333333,SanIgnacio,WestBaja,South,B
36,SanIgnacio9,2.356,1.449,1.62594893,17.102,0.88,SanIgnacio,WestBaja,South,B
37,SanCarlos1,2.338,1.358,1.721649485,25.339,1.434,SanCarlos,WestBaja,South,C
38,SanCarlos2,1.685,0.985333333,1.710081191,28.149,1.511333333,SanCarlos,WestBaja,South,C
39,SanCarlos3,1.967,1.242,1.58373591,26.163,1.104666667,SanCarlos,WestBaja,South,C
40,SanCarlos4,2.039,1.113,1.831985624,23.35,1.43,SanCarlos,WestBaja,South,C
41,SanCarlos5,1.957,1.095666667,1.786127168,23.413,1.375,SanCarlos,WestBaja,South,C
42,SanCarlos6,2.529,1.16,2.180172414,23.805,0.903333333,SanCarlos,WestBaja,South,C
43,SanCarlos7,2.204,1.115666667,1.975500448,22.185,1.214666667,SanCarlos,WestBaja,South,C
44,SanCarlos8,2.339,1.44,1.624305556,22.852,1.158,SanCarlos,WestBaja,South,C
45,SanCarlos9,1.64,0.988666667,1.65879973,22.956,0.978666667,SanCarlos,WestBaja,South,C
46,LosAngeles1,1.58,0.852666667,1.853010164,19.749,1.265,LosAngeles,EastBaja,Middle,E1
47,LosAngeles2,1.497,1.089666667,1.373814622,24.58,1.104666667,LosAngeles,EastBaja,Middle,E1
48,LosAngeles3,1.682,0.856,1.964953271,28.517,1.337,LosAngeles,EastBaja,Middle,E1
49,LosAngeles4,2.358,1.316666667,1.790886076,24.467,1.21,LosAngeles,EastBaja,Middle,E1
50,LosAngeles5,1.697,1.23,1.379674797,27.572,0.885333333,LosAngeles,EastBaja,Middle,E1
51,LosAngeles6,1.765,1.141666667,1.545985401,23.866,1.160333333,LosAngeles,EastBaja,Middle,E1
52,LosAngeles7,2.034,0.658666667,3.08805668,26.859,1.170333333,LosAngeles,EastBaja,Middle,E1
53,LosAngeles8,2.121,0.99,2.142424242,30.389,1.448333333,LosAngeles,EastBaja,Middle,E1
54,LosAngeles9,1.86,1.047,1.776504298,37.007,1.411,LosAngeles,EastBaja,Middle,E1
55,LasLisas1,2.182,1.352333333,1.613507518,30.705,1.500333333,LasLisas,Sonora,North,D2
56,LasLisas2,2.3,1.544333333,1.489315778,24.135,1.375,LasLisas,Sonora,North,D2
57,LasLisas3,2.63,1.285333333,2.046161826,19.836,1.488333333,LasLisas,Sonora,North,D2
58,LasLisas4,1.384,0.675666667,2.048347311,27.861,1.441,LasLisas,Sonora,North,D2
59,LasLisas5,1.493,0.761666667,1.960175055,20.358,1.43,LasLisas,Sonora,North,D2
60,LasLisas6,1.147,0.727666667,1.576271186,22.989,1.375,LasLisas,Sonora,North,D2
61,LasLisas7,1.699,1.042666667,1.629475703,31.679,1.76,LasLisas,Sonora,North,D2
62,LasLisas8,1.701,0.972,1.75,27.973,1.43,LasLisas,Sonora,North,D2
63,LasLisas9,1.617,0.901666667,1.793345656,20.135,1.338666667,LasLisas,Sonora,North,D2
64,SantaRosa1,1.669,1.059333333,1.575519194,33.901,1.035666667,SantaRosa,Sonora,Middle,E2
65,SantaRosa2,1.594,1.044,1.526819923,24.899,1.103333333,SantaRosa,Sonora,Middle,E2
66,SantaRosa3,1.529,1.026666667,1.489285714,33.136,1.054333333,SantaRosa,Sonora,Middle,E2
67,SantaRosa4,1.646,0.961333333,1.71220527,33.372,1.39,SantaRosa,Sonora,Middle,E2
68,SantaRosa5,1.735,0.888666667,1.952363091,31.444,1.045,SantaRosa,Sonora,Middle,E2
69,SantaRosa6,1.437,0.827666667,1.736206202,28.064,1.359,SantaRosa,Sonora,Middle,E2
70,SantaRosa7,1.521,0.988666667,1.538435604,30.247,1.299,SantaRosa,Sonora,Middle,E2
71,SantaRosa8,1.39,0.879,1.581342435,27.598,1.286,SantaRosa,Sonora,Middle,E2
72,SantaRosa9,1.359,0.994,1.367203219,30.265,1.049666667,SantaRosa,Sonora,Middle,E2